UserID,JoinDate,AgeGroup,Gender,Region,TotalOrders,TotalSpending,LastPurchaseDate,MembershipLevel
USR001,2023-01-15,30-39,M,서울,45,1850000,2026-05-08,Gold
USR002,2022-06-20,40-49,F,경기,62,2340000,2026-05-07,Platinum
USR003,2024-03-10,20-29,M,부산,23,680000,2026-05-06,Silver
USR004,2021-12-01,50-59,F,서울,89,3450000,2026-05-08,Platinum
USR005,2023-08-25,30-39,F,대구,34,1200000,2026-05-05,Gold
USR006,2022-02-14,40-49,M,인천,71,2890000,2026-05-08,Platinum
USR007,2023-11-30,25-34,F,광주,28,950000,2026-05-04,Silver
USR008,2021-05-18,35-44,M,대전,52,2100000,2026-05-07,Gold
USR009,2024-01-22,20-29,F,울산,15,420000,2026-05-06,Bronze
USR010,2022-09-05,45-54,F,경주,38,1650000,2026-05-08,Gold
USR011,2023-04-12,30-39,M,수원,41,1780000,2026-05-03,Gold
USR012,2021-07-28,50-59,M,성남,67,2780000,2026-05-08,Platinum
USR013,2024-02-10,22-31,F,안양,19,550000,2026-05-05,Bronze
USR014,2022-10-14,38-47,F,서울,55,2250000,2026-05-07,Gold
USR015,2023-06-01,28-37,M,부산,32,1420000,2026-05-08,Silver
