ProductID,ProductName,Category,Price,Stock,UnitsSold,Revenue,Margin,Rating,Status
PRD001,기본 티셔츠,의류,29000,450,1250,36250000,0.45,4.5,Active
PRD002,청바지,의류,69000,280,680,46920000,0.50,4.6,Active
PRD003,원피스,의류,89000,190,420,37380000,0.48,4.4,Active
PRD004,우드 테이블,가구,289000,85,245,70805000,0.40,4.7,Active
PRD005,소파,가구,599000,45,128,76672000,0.35,4.6,Active
PRD006,침대,가구,799000,32,95,75905000,0.38,4.5,Active
PRD007,세제,생활용품,8900,1200,4500,40050000,0.60,4.3,Active
PRD008,샴푸,생활용품,12900,800,3200,41280000,0.58,4.4,Active
PRD009,청소용품,생활용품,6900,1500,5600,38640000,0.62,4.2,Active
PRD010,냉장고,전자제품,1299000,28,85,110415000,0.22,4.8,Active
PRD011,세탁기,전자제품,899000,35,105,94395000,0.25,4.7,Active
PRD012,TV,전자제품,599000,42,125,74875000,0.28,4.6,Active
PRD013,에센스,뷰티,39000,320,950,37050000,0.55,4.5,Active
PRD014,크림,뷰티,59000,210,580,34220000,0.50,4.4,Active
PRD015,마스크팩,뷰티,19000,450,1800,34200000,0.65,4.3,Active
